"","id","name","price","rating","review_count","city","state","zip_code","latitude","longitude"
"2713","lake-drum-brewing-geneva","Lake Drum Brewing","$",4.5,24,"Geneva","NY","14456",42.86793495,-76.98097589
"2714","bottomless-brewing-geneva","Bottomless Brewing","$",4.5,16,"Geneva","NY","14456",42.855298,-76.933268
"2715","naked-dove-brewing-company-canandaigua","Naked Dove Brewing Company","$",4,19,"Canandaigua","NY","14424",42.866595,-77.225328
"2716","twisted-rail-brewing-macedon-macedon","Twisted Rail Brewing - Macedon","$$",4.5,6,"Macedon","NY","14502",43.06978226,-77.29860687
"2717","twisted-rail-brewing-company-canandaigua","Twisted Rail Brewing Company","$",3.5,33,"Canandaigua","NY","14424",42.8749983,-77.262161
"2718","three-huskies-brewing-canandaigua","Three Huskies Brewing","$",4,13,"Canandaigua","NY","14424",42.87249193,-77.25231953
"2719","crafty-ales-and-lagers-phelps","Crafty Ales & Lagers","$$",5,7,"Phelps","NY","14532",42.95782354,-77.05688515
"2720","bee-hive-brew-pub-canandaigua-2","Bee Hive Brew Pub","$$",3.5,53,"Canandaigua","NY","14424",42.88837094,-77.27887608
"2721","reinvention-brewing-manchester","Reinvention Brewing","$",4.5,2,"Manchester","NY","14504",42.96982,-77.23044
"2722","peacemaker-brewing-company-canandaigua","Peacemaker Brewing Company","$$",3.5,2,"Canandaigua","NY","14424",42.88842773,-77.27896881
"2723","young-lion-brewing-company-canandaigua","Young Lion Brewing Company","$$",3.5,11,"Canandaigua","NY","14424",42.87589,-77.26993
"2724","canandaigua-brew-company-canandaigua","Canandaigua Brew Company",NA,1,1,"Canandaigua","NY","14424",42.88606965,-77.2797307
"2725","thunderbird-restaurant-mt-carmel-2","Thunderbird Restaurant","$$",3.5,198,"Mt Carmel","UT","84755",37.22324,-112.68109
"2726","grand-canyon-expeditions-kanab","Grand Canyon Expeditions",NA,4.5,6,"Kanab","UT","84741",37.0582708,-112.5366685
"2727","mes-burgers-and-brews-danville","Me's burgers & brews","$$",4.5,46,"Danville","VA","24541",36.58816528,-79.38970184
"2728","ballad-brewing-danville","Ballad Brewing","$$",5,4,"Danville","VA","24541",36.58443,-79.38667
"2729","ausable-brewing-company-keeseville","Ausable Brewing Company","$$",5,5,"Keeseville","NY","12944",44.50270844,-73.45410156
"2730","squam-brewing-holderness","Squam Brewing",NA,4,5,"Holderness","NH","03245",43.7494662,-71.5996733
"2731","onions-pub-and-restaurant-tilton","Onions Pub & Restaurant","$$",4,107,"Tilton","NH","03276",43.44229,-71.58847
"2732","brÌ_-tap-house-tavares","BrÌ_ Tap House","$$",4.5,20,"Tavares","FL","32778",28.8025872,-81.727233
"2733","great-chicago-fire-brewery-and-tap-room-leesburg","Great Chicago Fire Brewery & Tap Room","$$",4,8,"Leesburg","FL","34748",28.81012726,-81.8768158
"2734","mermaid-juice-mount-dora","Mermaid Juice","$$",4,22,"Mount Dora","FL","32757",28.8003952,-81.6362227
"2735","the-corkscrew-winery-the-villages","The Corkscrew Winery","$$",5,6,"The Villages","FL","32159",28.9417235,-81.9486954
"2736","the-half-wall-deland-deland-4","The Half Wall DeLand","$$",4,66,"DeLand","FL","32720",29.02922058,-81.30380249
"2737","uncle-jacks-bar-and-grill-independence","Uncle Jack's Bar & Grill","$$",4,14,"Independence","KS","67301",37.2235363,-95.7065451
"2738","the-brewing-projekt-eau-claire","The Brewing Projekt","$",5,12,"Eau Claire","WI","54703",44.81894997,-91.50995792
"2739","lazy-monk-brewing-tap-room-eau-claire-2","Lazy Monk Brewing Tap Room","$$",4.5,11,"Eau Claire","WI","54703",44.81519318,-91.50875854
"2740","jacob-leinenkugel-brewing-co-chippewa-falls","Jacob Leinenkugel Brewing Co","$",4.5,89,"Chippewa Falls","WI","54729",44.94329,-91.39533
"2741","brewster-bros-brewing-chippewa-falls","Brewster Bros Brewing","$",5,4,"Chippewa Falls","WI","54729",44.93205129,-91.39586214
"2742","amber-inn-bar-and-grill-eau-claire","Amber Inn Bar & Grill","$",4.5,9,"Eau Claire","WI","54703",44.81802,-91.49571
"2743","leinenkugel-brewing-chippewa-falls","Leinenkugel Brewing","$$",5,3,"Chippewa Falls","WI","54729",44.94486,-91.3952599
"2744","moonridge-brewing-company-cornell","MoonRidge Brewing Company","$$",5,9,"Cornell","WI","54732",45.16508484,-91.1456604
"2745","walkers-bluff-carterville","Walker's Bluff","$$",3.5,17,"Carterville","IL","62918",37.7975764,-89.1515113
"2746","grove-roots-brewing-co-winter-haven","Grove Roots Brewing Co","$$",4.5,24,"Winter Haven","FL","33880",28.01849188,-81.73303619
"2747","brewpop-brewery-auburndale","Brewpop Brewery","$$",4.5,39,"Auburndale","FL","33823",28.05770449,-81.81554488
"2748","lakeland-brewing-company-lakeland-3","Lakeland Brewing Company","$$",4,64,"Lakeland","FL","33801",28.04580193,-81.95050371
"2749","brew-hub-lakeland","Brew Hub","$$",4.5,84,"Lakeland","FL","33815",28.04419443,-82.02496313
"2750","cob-and-pen-lakeland","Cob & Pen","$$",4,28,"Lakeland","FL","33803",28.02700209,-81.95725612
