"atmosphere","fbcount","fbscore","food","id","overall","reviewcount","selection","service"
"0","","","0","19315","0","0","0","0"
"0","","","0","8104","0","0","0","0"
"0","","","0","11241","0","0","0","0"
"0","","","0","13128","0","0","0","0"
"0","","","0","17135","0","0","0","0"
"4","","","4.5","10285","81.6666","1","3.75","4.5"
"0","","","0","1940","0","0","0","0"
"0","","","0","11641","0","0","0","0"
"0","","","0","21085","0","0","0","0"
"0","","","0","11810","0","0","0","0"
"0","","","0","15944","0","0","0","0"
"0","","","0","15390","0","0","0","0"
"5","","","5","7617","97.500025","2","5","4.625"
"0","","","0","2513","0","0","0","0"
"0","","","0","8780","0","0","0","0"
"0","","","0","1941","0","0","0","0"
"0","","","0","2514","0","0","0","0"
"4","","","2","18676","80.0002","1","5","3"
"0","","","0","9","0","0","0","0"
"0","","","0","17208","0","0","0","0"
"0","","","0","15898","0","0","0","0"
"0","","","0","14456","0","0","0","0"
"0","","","0","12542","0","0","0","0"
"0","","","0","2166","0","0","0","0"
"4","","","0","17853","86.6666","1","4","5"
"0","","","0","17629","0","0","0","0"
"0","","","0","2200","0","0","0","0"
"0","","","0","14395","0","0","0","0"
"0","","","0","15920","0","0","0","0"
"0","","","0","10588","0","0","0","0"
"3.125","","","0","13567","78.33345","2","4.5","4.125"
"0","","","0","3583","0","0","0","0"
"0","","","0","15099","0","0","0","0"
"4.45","","","0","17","93.66671","5","4.9","4.7"
"0","","","0","17100","0","0","0","0"
"5","","","4.25","19746","90","1","4.5","4"
"0","","","0","15444","0","0","0","0"
"0","","","0","11993","0","0","0","0"
"0","","","0","14411","0","0","0","0"
"0","","","0","17605","0","0","0","0"
"0","","","0","18639","0","0","0","0"
"4.5833333333333","","","0","19","94.444433333334","3","4.6666666666667","4.9166666666667"
"0","","","0","1942","0","0","0","0"
"0","","","0","17399","0","0","0","0"
"0","","","0","19877","0","0","0","0"
"0","","","0","20457","0","0","0","0"
"0","","","0","13456","0","0","0","0"
"0","","","0","4696","0","0","0","0"
"0","","","0","15742","0","0","0","0"
"0","","","0","2201","0","0","0","0"
"0","","","0","17209","0","0","0","0"
"4.25","","","0","29","81.6666","1","3.75","4.25"
"4.25","","","0","14481","86.6667","1","4.5","4.25"
"0","","","0","11198","0","0","0","0"
"4.8","","","0","31","96.00003","5","4.95","4.65"
"4","","","1","32","85.555633333334","3","4.6666666666667","4.1666666666667"
"2.5","","","0","15781","54.9999","1","2.25","3.5"
"4.75","","","4.75","11709","95","1","4.75","4.75"
"2.6666666666667","","","0","37","50.555383333334","3","1.6666666666667","3.25"
"0","","","0","46","0","0","0","0"
"0","","","0","12436","0","0","0","0"
"0","","","0","15986","0","0","0","0"
"0","","","0","14375","0","0","0","0"
"0","","","0","18690","0","0","0","0"
"0","","","0","17428","0","0","0","0"
"0","","","0","18739","0","0","0","0"
"3.5","","","0","2515","80.00005","1","4.25","4.25"
"0","","","0","19788","0","0","0","0"
"0","","","0","2644","0","0","0","0"
"4.5357142857143","","","4.5","5294","90.238085714286","7","4.4642857142857","4.5357142857143"
