id,brewery_id,altmap,lat,lng,map,name,status
238,13031,phoenix,33.509536,-112.068666,mountain,SunUp Brewing Company,Brewpub
239,20660,,0,0,,,
240,18994,,32.22659,-110.968832,,Tap and Bottle,Beer Bar
241,18330,,33.622784,-111.891987,,Tap That,Homebrew
242,15657,,33.421657,-111.944749,phoenix,Taste of Tops,Beer Store
243,17664,,34.871216,-111.759277,,Tasting Arizona,Beer Bar
244,17043,,0,0,,,
245,16468,,0,0,,,
246,19130,phoenix,33.300157,-111.842515,mountain,The Perch Pub and Brewery,Brewpub
247,16989,,0,0,,,
248,1325,,0,0,,,
249,3816,,33.421764,-111.944397,phoenix,Tops Liquors,Beer Store
250,7494,,33.643121,-112.220366,phoenix,Total Wine and More - Glendale,Beer Store
251,14741,,33.678615,-111.974607,phoenix,Total Wine and More - Phoenix,Beer Store
252,11265,,33.336802,-111.967921,phoenix,Total Wine and More - Tempe,Beer Store
253,15387,,33.288038,-111.686295,phoenix,Trophy's Steakhouse,Beer Bar
254,11554,,33.455869,-112.072161,phoenix,"Turf Restaurant and Pub, The",Beer Bar
255,18147,phoenix,33.319748,-111.978006,mountain,Uncle Bear's Brewhouse and Grill,Brewpub
256,3820,,35.198673,-111.648445,phoenix,Uptown Billiards,Beer Bar
257,18487,,0,0,,,
258,18040,,0,0,,,
259,3814,,33.638809,-112.195862,phoenix,What Ale's Ya,Homebrew
260,11267,,33.320203,-111.893884,phoenix,Whole Foods Market - Chandler,Beer Store
261,18605,,33.653895,-111.928005,,Whole Foods Market - Phoenix,Beer Store
262,20207,phoenix,33.471323,-112.029883,mountain,Wren House Brewing Co.,Brewery
263,6235,,33.534473,-112.26126,phoenix,Yard House - Glendale,Beer Bar
264,2999,,33.676167,-111.9711,phoenix,Yard House - Phoenix,Beer Bar
265,6234,,33.502265,-111.93038,phoenix,Yard House - Scottsdale,Beer Bar
266,13752,,33.392617,-111.940498,phoenix,Yucca Tap Room,Beer Bar
