,Rank,city,state,latitude,longitude,July_2016,breweries_5,breweries_10,breweries_25,ratings_5,ratings_10,ratings_25,review_count_5,review_count_10,review_count_25,price_5,price_10,price_25,brew_per_100k_5,brew_per_100k_10,brew_per_100k_25,review_per_100k_5,review_per_100k_10,review_per_100k_25
45,46,Minneapolis,Minnesota,44.977753,-93.2650108,413651,37,58,91,4.1406991845,4.072792179,3.93135509133,98.1351351351,76.9827586207,71.8791208791,1.25,1.38362068966,1.47527472527,8.94473843893,14.0214818772,21.999221566,23.7241382555,18.6105578424,17.3767550131
46,47,Tulsa,Oklahoma,36.1539816,-95.992775,403090,8,10,13,4.13924775521,4.1221837435,4.093987495,114.125,96.7,90.9230769231,1.875,1.9,2.0,1.98466843633,2.48083554541,3.22508620904,28.312535662,23.9896797241,22.5565201129
49,48,Arlington,Texas,32.735687,-97.1080656,392772,6,10,76,4.0529864648,4.0193624479,4.04504283191,84.3333333333,81.1,137.644736842,1.5,1.5,1.67105263158,1.52760380068,2.54600633446,19.3496481419,21.4713200873,20.6481113725,35.0444371906
50,49,New Orleans,Louisiana,29.9510658,-90.0715323,391495,25,27,27,4.18572875175,4.19675702557,4.19675702557,115.16,107.481481481,107.481481481,1.4347826087,1.41867954911,1.41867954911,6.38577759614,6.89663980383,6.89663980383,29.4154459188,27.4541134578,27.4541134578
48,50,Wichita,Kansas,37.688889,-97.336111,389902,9,17,19,4.05139479348,3.83866786386,3.85565019398,69.6666666667,64.6470588235,58.8947368421,1.77777777778,1.82352941176,1.84210526316,2.3082723351,4.3600699663,4.8730193741,17.867737705,16.5803352698,15.1050101928
47,51,Cleveland,Ohio,41.49932,-81.6943605,385809,21,32,50,3.96594816441,3.84839056113,3.84175045596,133.238095238,122.53125,110.96,1.75324675325,1.76988636364,1.79272727273,5.44310785907,8.29425959477,12.9597806168,34.5347296818,31.7595623741,28.7603451449
52,52,Tampa,Florida,27.950575,-82.4571776,377165,18,27,96,4.24652716553,4.26973795519,4.24484261843,235.833333333,187.925925926,125.333333333,1.70238095238,1.6164021164,1.6369047619,4.77244707224,7.15867060835,25.4530510519,62.5278945112,49.8259186101,33.2303722067
51,53,Bakersfield,California,35.3732921,-119.0187125,376380,6,11,11,3.83142066576,3.80046693233,3.80046693233,102.0,132.727272727,132.727272727,2.18333333333,2.1,2.1,1.59413358839,2.92257824539,2.92257824539,27.1002710027,35.2641672584,35.2641672584
54,54,Aurora,Colorado,39.7294319,-104.8319195,361710,12,66,158,4.17773982618,4.12708156479,4.10701325903,102.833333333,175.818181818,132.734177215,1.5,1.43939393939,1.53164556962,3.31757485278,18.2466616903,43.6814022283,28.4297733912,48.6074982218,36.6962973695
53,55,Honolulu,Hawaii,21.3069444,-157.8583333,351792,17,24,27,4.15491247954,4.00761439837,3.99329378434,215.411764706,164.666666667,197.814814815,1.87254901961,1.78472222222,1.80864197531,4.83240096421,6.82221312594,7.67498976668,61.2327070274,46.8079622807,56.2306177556
55,56,Anaheim,California,33.8352932,-117.9145036,351043,21,36,163,4.32092927598,4.3067437687,4.17271065357,269.761904762,238.25,269.582822086,1.38095238095,1.47222222222,1.55527049637,5.98217312409,10.255153927,46.4330580584,76.8458293605,67.8691784197,76.7948149047
56,57,Santa Ana,California,33.7455731,-117.8678338,334217,19,47,119,4.27905001274,4.24291044611,4.17582776993,242.210526316,216.510638298,277.899159664,1.52631578947,1.46808510638,1.59663865546,5.68492925255,14.06271973,35.6056095291,72.4710371752,64.7814558499,83.1493190543
59,58,Corpus Christi,Texas,27.8005828,-97.396381,325733,1,3,7,4.36180124224,4.05217846116,3.88454790437,8.0,68.6666666667,48.2857142857,1.0,1.66666666667,1.57142857143,0.30699990483,0.92099971449,2.14899933381,2.45599923864,21.0806601317,14.8237096904
58,59,Riverside,California,33.9533487,-117.3961564,324722,9,18,70,4.32138355857,4.22420966782,4.19653510411,172.666666667,196.888888889,166.385714286,1.25252525253,1.34848484848,1.41818181818,2.77160155456,5.54320310912,21.5569009799,53.1736890838,60.6330611689,51.239433819
60,60,Lexington-Fayette,Kentucky,38.0405837,-84.5037164,318449,18,19,28,3.98544375948,3.96961351894,4.00271064098,95.2222222222,91.8421052632,91.4285714286,1.55555555556,1.57894736842,1.60714285714,5.65239645909,5.96641848459,8.79261671414,29.9018750953,28.8404439214,28.710585189
57,61,St. Louis,Missouri,38.6270025,-90.1994042,311404,29,40,68,4.03602690195,4.05305819955,3.97949449744,163.965517241,148.725,115.102941176,1.70689655172,1.7125,1.76838235294,9.31266136594,12.8450501599,21.8365852719,52.6536323366,47.7595021259,36.9625763242
63,62,Stockton,California,37.9577016,-121.2907796,307072,6,7,19,3.7148741775,3.75560643786,3.73920750239,182.666666667,179.428571429,175.157894737,1.83333333333,1.85714285714,1.84210526316,1.95393914131,2.27959566486,6.18747394748,59.4865916354,58.4320847972,57.0413110726
61,63,Pittsburgh,Pennsylvania,40.4406248,-79.9958864,303625,34,47,61,4.04494476985,4.01466583121,4.01237148075,104.588235294,101.425531915,82.3442622951,1.90484429066,1.9098873592,1.83220829315,11.1980238781,15.4796212433,20.090572252,34.4465163587,33.4048684775,27.1203828061
65,64,St. Paul,Minnesota,44.9537029,-93.0899578,302398,12,54,95,3.92257090048,3.93687018974,3.97108750854,39.4166666667,73.8148148148,69.0631578947,1.5,1.41203703704,1.46578947368,3.96828021349,17.8572609607,31.4155516902,13.0346982013,24.4098224244,22.8384969129
64,65,Cincinnati,Ohio,39.1031182,-84.5120196,298800,30,52,64,4.1722488719,4.12665568092,4.12912184122,115.966666667,87.1923076923,78.375,1.6918699187,1.6299249531,1.60556402439,10.0401606426,17.4029451138,21.4190093708,38.8107987506,29.1808258676,26.2299196787
62,66,Anchorage,Alaska,61.2180556,-149.9002778,298192,14,18,19,4.12581873366,4.12132501886,4.14125528102,306.142857143,251.555555556,239.526315789,1.92105263158,1.93859649123,1.94182825485,4.69496163546,6.03637924559,6.37173364812,102.666354947,84.3602630371,80.3262045224
70,67,Henderson,Nevada,36.0395247,-114.9817213,292969,9,19,50,4.35673698186,4.15284500015,4.02735065171,49.4444444444,102.578947368,214.1,1.50793650794,1.63909774436,1.71898617512,3.07199737856,6.48532779919,17.0666521031,16.8770226353,35.0135841568,73.0794043056
67,68,Greensboro,North Carolina,36.0726354,-79.7919754,287027,10,11,17,3.92884521904,3.91767730145,3.87291891758,119.0,109.454545455,84.7647058824,1.7,1.72727272727,1.82352941176,3.4839927951,3.83239207461,5.92278775167,41.4595142617,38.1338847755,29.5319624573
69,69,Plano,Texas,33.0198431,-96.6988856,286057,6,24,78,3.84505369875,3.80308039096,3.99791125027,120.5,152.708333333,142.884615385,1.58333333333,1.72916666667,1.72008547009,2.09748406786,8.38993627144,27.2672928822,42.1244716962,53.3838826994,49.9497007186
68,70,Newark,New Jersey,40.735657,-74.1723667,281764,3,22,111,4.0,4.02933405354,4.08423275155,93.0,234.863636364,151.432432432,2.0,1.72727272727,1.6990990991,1.0647208302,7.80795275479,39.3946707173,33.0063457361,83.3547352975,53.7444217261
71,71,Lincoln,Nebraska,40.8257625,-96.6851982,280364,12,15,18,3.95201981046,3.92451620953,3.93709684128,46.6666666667,45.4666666667,43.3333333333,1.89583333333,1.91666666667,1.93055555556,4.2801500906,5.35018761325,6.42022513589,16.6450281301,16.217013121,15.4560975494
66,72,Toledo,Ohio,41.6639383,-83.555212,278508,3,8,11,4.01545562518,4.24046248214,4.2657908961,72.3333333333,36.375,36.0909090909,2.0,1.875,1.81818181818,1.07716833987,2.87244890632,3.94961724618,25.9717255279,13.0606661209,12.9586615433
76,73,Orlando,Florida,28.5383355,-81.3792365,277173,22,32,61,4.09662476973,4.05632055609,4.07085859979,101.136363636,105.78125,135.868852459,1.45454545455,1.58333333333,1.71584699454,7.9372810483,11.5451360703,22.0079156339,36.4885337448,38.1643414041,49.0195121671
74,74,Chula Vista,California,32.6400541,-117.0841955,267172,7,58,139,4.35014978593,4.28543953947,4.2290372351,71.4285714286,196.155172414,227.050359712,1.42857142857,1.4444646098,1.38970087088,2.62003503361,21.7088617071,52.0264099531,26.7350513634,73.4190605355,84.9828424057
84,75,Irvine,California,33.6839473,-117.7946942,266122,5,29,101,4.0101756441,4.18001073642,4.18656615734,182.0,220.034482759,294.386138614,1.6,1.62068965517,1.56435643564,1.87883752565,10.8972576487,37.9525180181,68.3896859335,82.6818086286,110.620744852
75,76,Fort Wayne,Indiana,41.079273,-85.1393513,264488,9,9,13,4.16937979919,4.16937979919,4.23264755329,49.3333333333,49.3333333333,39.0769230769,1.74603174603,1.74603174603,1.82417582418,3.40280088322,3.40280088322,4.91515683131,18.6523900265,18.6523900265,14.7745542622
73,77,Jersey City,New Jersey,40.7281575,-74.0776417,264152,10,45,113,4.22842782969,4.19437145857,4.12256491524,263.7,179.0,141.212389381,1.8,1.68,1.67787610619,3.78569914292,17.0356461431,42.778400315,99.8288863987,67.7640146582,53.4587621447
81,78,Durham,North Carolina,35.9940329,-78.898619,263016,18,25,91,4.12933164874,4.10026325428,4.05174501505,123.888888889,122.04,92.6923076923,1.80701754386,1.82105263158,1.5803139984,6.84369011771,9.50512516349,34.5986555951,47.1031758102,46.4002189981,35.2420794523
77,79,St. Petersburg,Florida,27.773056,-82.64,260999,17,27,89,4.20518081948,4.22438960201,4.23474426238,175.764705882,142.851851852,127.865168539,1.61764705882,1.57407407407,1.6294141252,6.51343491738,10.3448672217,34.0997475086,67.343057208,54.732719992,48.9906737341
79,80,Laredo,Texas,27.5305671,-99.4803241,257156,1,1,1,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,0.388869013362,0.388869013362,0.388869013362,0.777738026723,0.777738026723,0.777738026723
72,81,Buffalo,New York,42.8864468,-78.8783689,256902,17,26,43,3.95237338321,3.92007109164,3.96431731361,96.7058823529,84.0769230769,92.6511627907,1.82352941176,1.80769230769,1.86046511628,6.61730932418,10.1205907311,16.7379000553,37.6431021763,32.7272357074,36.0647884371
82,82,Madison,Wisconsin,43.0730517,-89.4012302,252551,26,40,53,3.79220891527,3.79035587643,3.79956087309,109.307692308,97.45,91.6603773585,1.84023668639,1.79230769231,1.74891146589,10.2949503269,15.8383851183,20.9858602817,43.2814331789,38.5862657443,36.2938089172
83,83,Lubbock,Texas,33.5778631,-101.8551665,252506,3,3,3,3.83701475155,3.83701475155,3.83701475155,103.666666667,103.666666667,103.666666667,2.0,2.0,2.0,1.18809058003,1.18809058003,1.18809058003,41.0551300431,41.0551300431,41.0551300431
78,84,Chandler,Arizona,33.3061605,-111.8412502,247477,8,25,68,3.95476811601,3.99213003317,4.07801035702,400.25,211.72,216.735294118,1.875,1.8,1.78598362422,3.23262363775,10.101948868,27.4773009209,161.732201376,85.5513845731,87.5779543625
94,85,Scottsdale,Arizona,33.4941704,-111.9260519,246645,16,44,84,4.18523404736,4.17095161723,4.05070649313,250.5625,217.454545455,199.333333333,1.93269230769,1.76015651016,1.80293912437,6.48705629549,17.8394048126,34.0570455513,101.58831519,88.1649923796,80.8179096813
86,86,Glendale,Arizona,33.5386523,-112.1859866,245895,4,21,74,3.84301697024,3.99609230063,4.06282271069,139.75,176.095238095,198.0,1.75,1.75056689342,1.80333630334,1.62671058785,8.54023058623,30.0941458753,56.8332011631,71.61399707,80.5221740987
89,87,Reno,Nevada,39.5296329,-119.8138027,245255,30,34,42,4.04770565465,4.06152329083,4.10053737389,122.933333333,128.647058824,121.452380952,1.66666666667,1.70588235294,1.7380952381,12.2321665206,13.8631220566,17.1250331288,50.124700142,52.454408197,49.5208582709
80,88,Norfolk,Virginia,36.8507689,-76.2858726,245115,17,24,52,3.82129670595,3.84608230406,3.9343864929,74.4117647059,78.5,75.4615384615,1.76470588235,1.75,1.72307692308,6.93552006201,9.79132244049,21.2145319544,30.3578992334,32.0257838158,30.7861772888
85,89,Winston-Salem,North Carolina,36.0998596,-80.244216,242203,10,15,25,3.96691253921,3.95807948443,3.93269888856,73.9,57.0,73.4,1.99090909091,1.92727272727,1.83636363636,4.12876801691,6.19315202537,10.3219200423,30.511595645,23.5339776964,30.3051572441
95,90,North Las Vegas,Nevada,36.1988592,-115.1175013,238702,10,27,50,4.14904519711,3.94588411042,4.02735065171,229.9,299.185185185,214.1,1.7,1.74074074074,1.71898617512,4.1893239269,11.3111746026,20.9466196345,96.3125570795,125.338365487,89.693425275
93,91,Irving,Texas,32.8140177,-96.9488945,238289,0,24,96,,4.07710823239,4.0402656379,,185.708333333,140.666666667,,1.66666666667,1.69270833333,0.0,10.0718035663,40.287214265,,77.9340772479,59.0319597911
90,92,Chesapeake,Virginia,36.7682088,-76.2874927,237940,3,22,50,3.54260881658,3.80946126684,3.9428758982,39.0,73.8636363636,75.26,2.0,1.81818181818,1.712,1.26082205598,9.24602841052,21.013700933,16.3906867277,31.0429672874,31.6298226444
91,93,Gilbert,Arizona,33.3528264,-111.789027,237133,12,25,70,3.93356168367,3.98650611409,4.07448597484,302.75,197.84,216.185714286,1.91666666667,1.8,1.79209837781,5.06045130792,10.5426068915,29.5192992962,127.670969456,83.4299738965,91.1664400508
88,94,Hialeah,Florida,25.8575963,-80.2781057,236387,2,24,49,4.41873575627,4.2690706473,4.20800393447,29.5,135.708333333,137.918367347,1.5,1.66421568627,1.6793517407,0.846070215367,10.1528425844,20.7287202765,12.4795356767,57.4093894052,58.3443113822
87,95,Garland,Texas,32.912624,-96.6388833,234943,6,20,76,4.08853443595,3.84578009453,3.99639698829,107.666666667,117.95,144.776315789,1.83333333333,1.725,1.72587719298,2.55381092435,8.51270308117,32.3482717085,45.8267182536,50.2036664212,61.6218894751
96,96,Fremont,California,37.5482697,-121.9885719,233136,5,8,93,3.84958915357,3.87221824389,4.06213264088,406.6,433.5,277.569892473,1.8,1.75,1.68320926385,2.14467092169,3.43147347471,39.8908791435,174.404639352,185.942968911,119.059215425
92,97,Baton Rouge,Louisiana,30.4582829,-91.1403196,227715,3,8,8,4.0396039604,3.93031257749,3.93031257749,48.0,38.5,38.5,1.66666666667,1.57142857143,1.57142857143,1.31743626902,3.51316338405,3.51316338405,21.0789803043,16.9070987858,16.9070987858
98,98,Richmond,Virginia,37.5407246,-77.4360481,223170,28,33,47,3.96214056774,3.95460799225,3.97672087273,65.1071428571,74.0,73.914893617,1.71313364055,1.71847507331,1.78105696637,12.5464892235,14.7869337277,21.0601783394,29.1737880796,33.158578662,33.1204434364
97,99,Boise City,Idaho,43.6187102,-116.2146068,223154,23,34,38,4.00117303278,3.92042754851,3.96063520528,73.0434782609,67.6470588235,61.8947368421,1.64347826087,1.69411764706,1.67368421053,10.3067836561,15.2361149699,17.028599084,32.7323186055,30.3140695769,27.7363331341
99,100,San Bernardino,California,34.1083449,-117.2897652,216239,8,17,60,4.08614742401,4.16516868583,4.15036160963,92.625,172.352941176,182.0,1.375,1.47058823529,1.48787878788,3.69961015358,7.86167157636,27.7470761519,42.8345488094,79.704836397,84.1661309939
101,101,Spokane,Washington,47.6587802,-117.4260466,215973,22,29,38,4.01929015758,4.08628852075,4.18034861043,86.8636363636,68.4482758621,54.8684210526,1.68181818182,1.6074270557,1.56882591093,10.1864584925,13.4276043765,17.5947919416,40.2196739239,31.6929782251,25.4052224364
103,102,Des Moines,Iowa,41.6005448,-93.6091064,215472,12,24,31,4.17268870376,4.00837202039,4.04168957625,63.6666666667,53.4583333333,45.5806451613,1.78333333333,1.68333333333,1.69032258065,5.56916907997,11.1383381599,14.3870201233,29.5475359521,24.8098747556,21.1538599731
104,103,Modesto,California,37.6390972,-120.9968782,212175,4,6,12,3.42156525905,3.47202500556,3.86321581647,321.5,236.666666667,224.583333333,2.0,2.0,1.83333333333,1.88523624367,2.8278543655,5.655708731,151.525863085,111.543144417,105.848159931
100,104,Birmingham,Alabama,33.5206608,-86.80249,212157,19,22,25,4.14390156538,4.14658397173,4.17706420966,89.0,85.9090909091,84.4,1.63157894737,1.68181818182,1.72,8.9556319141,10.3696790584,11.7837262028,41.9500652818,40.493168224,39.7818596605
106,105,Tacoma,Washington,47.2528768,-122.4442906,211277,20,36,100,4.11669335102,3.95626228218,4.0720369423,95.2,91.0833333333,89.49,1.52380952381,1.54100529101,1.58476190476,9.46624573427,17.0392423217,47.3312286714,45.0593296951,43.1108607815,42.356716538
108,106,Fontana,California,34.0922335,-117.435048,209665,0,14,64,,4.19418382582,4.16838612037,,185.785714286,160.625,,1.5,1.44176136364,0.0,6.67731857964,30.5248849355,,88.610742988,76.6103069182
102,107,Rochester,New York,43.16103,-77.6109219,208880,20,34,47,3.9931103183,3.96404217493,4.03753695444,53.1,50.4411764706,40.7872340426,1.615,1.66029411765,1.59787234043,9.57487552662,16.2772883953,22.5009574876,25.4212945232,24.1483993061,19.5266344516
107,108,Oxnard,California,34.1975048,-119.1770516,207906,6,20,43,3.8624722751,4.09289400478,4.13378679258,140.333333333,140.55,161.23255814,1.66666666667,1.62692307692,1.68228980322,2.88591959828,9.61973199427,20.6824237877,67.4984528264,67.6026665897,77.5506999026
111,109,Moreno Valley,California,33.9424658,-117.2296717,205499,1,14,51,3.0,4.07283379974,4.2211729515,419.0,195.071428571,163.745098039,2.0,1.57142857143,1.41711229947,0.486620372849,6.81268521988,24.8176390153,203.893936224,94.9257313035,79.68170066
105,110,Fayetteville,North Carolina,35.0526641,-78.8783585,204759,6,8,8,3.77625843362,3.74950348077,3.74950348077,114.833333333,97.25,97.25,1.76666666667,1.7,1.7,2.93027412714,3.90703216953,3.90703216953,56.0821909334,47.4948598108,47.4948598108
113,111,Aurora,Illinois,41.7605849,-88.3200715,201110,5,20,67,3.62938825764,3.82031921152,3.97504195952,182.4,148.7,141.074626866,2.2,2.0,1.86567164179,2.48620158122,9.9448063249,33.3151011884,90.6966336831,73.9396350256,70.1479920768
120,112,Glendale,California,34.1425078,-118.255075,200831,15,44,124,4.26694814186,4.2327704831,4.16364945976,513.4,369.136363636,282.580645161,1.6,1.60247933884,1.58988269795,7.46896644442,21.908968237,61.7434559406,255.637824838,183.804474228,140.705690437
114,113,Yonkers,New York,40.9312099,-73.8987469,200807,6,24,121,4.16170038252,3.98610846908,4.13346379022,151.5,141.458333333,143.636363636,1.5,1.79166666667,1.72396694215,2.98794364738,11.9517745895,60.2568635556,75.4455770964,70.4449214088,71.5295600434
116,114,Huntington Beach,California,33.660297,-117.9992265,200652,8,22,109,4.06707331073,4.10578931708,4.17360801553,153.375,317.5,276.165137615,1.375,1.54545454545,1.57464553795,3.98700237227,10.9642565237,54.3229073221,76.4383111058,158.234156649,137.633882351
110,115,Montgomery,Alabama,32.3668052,-86.2999689,200022,2,7,7,3.7286248078,3.51011175931,3.51011175931,41.0,41.5714285714,41.5714285714,2.0,2.0,2.0,0.999890012099,3.49961504235,3.49961504235,20.497745248,20.7834281086,20.7834281086
119,116,Amarillo,Texas,35.2219971,-101.8312969,199582,1,3,4,3.58654841094,3.74826973572,3.93620230179,1113.0,390.333333333,299.75,2.0,1.5,1.625,0.501047188624,1.50314156587,2.0041887545,557.665520939,195.575419293,150.18889479
117,117,Little Rock,Arkansas,34.7464809,-92.2895948,198541,13,15,15,3.93974258866,3.8681853062,3.8681853062,49.0,50.2666666667,50.2666666667,1.61538461538,1.66666666667,1.66666666667,6.54776595262,7.55511456072,7.55511456072,24.6800408984,25.3180283501,25.3180283501
115,118,Akron,Ohio,41.0814447,-81.5190053,197633,11,17,29,3.88737019105,3.97969395443,3.88603987115,37.6363636364,32.1176470588,46.0,1.63636363636,1.76470588235,1.79310344828,5.56587209626,8.60180233058,14.6736627992,19.0435623789,16.2511559602,23.2754651298
109,119,Columbus,Georgia,32.4609764,-84.9877094,197485,5,6,7,3.45312864563,3.4513185449,3.67255875277,99.8,96.8333333333,83.4285714286,2.0,2.0,1.85714285714,2.5318378611,3.03820543332,3.54457300554,50.5354837076,49.03325991,42.2455231681
118,120,Augusta-Richmond County,Georgia,33.4734978,-82.0105148,197081,8,10,13,4.23603145361,4.22225120767,4.08957316642,69.875,66.6,63.5384615385,1.875,1.9,1.92307692308,4.05924467605,5.07405584506,6.59627259858,35.4549652173,33.7932119281,32.2397702155
